"","years","rmodel","SSBmed","SSBmin","SSBmax","Rmed","Rmin","Rmax","Fmed","Fmin","Fmax","Cmed","Cmin","Cmax"
"79",2016,"env_EM_OM1",97939.3143107135,97939.3143107135,97939.3143107135,3727512.09536777,3727512.09536777,3727512.09536777,0.287284615886755,0.287284615886755,0.287284615886755,27882.0267662842,27882.0267662842,27882.0267662842
"80",2016,"no_env_EM_OM2",97939.3143107135,97939.3143107135,97939.3143107135,3727512.09536777,3727512.09536777,3727512.09536777,0.287284615886755,0.287284615886755,0.287284615886755,27882.0267662842,27882.0267662842,27882.0267662842
"81",2017,"env_EM_OM1",105899.988536247,105899.988536247,105899.988536247,7150342.47989794,7150342.47989794,7150342.47989794,0.259896606354129,0.259896606354129,0.259896606354129,24536.2567867992,24536.2567867992,24536.2567867992
"82",2017,"no_env_EM_OM2",105899.988536247,105899.988536247,105899.988536247,7150342.47989794,7150342.47989794,7150342.47989794,0.259896606354129,0.259896606354129,0.259896606354129,24536.2567867992,24536.2567867992,24536.2567867992
"83",2018,"env_EM_OM1",113292.198068708,113292.198068708,113292.198068708,3222713.70612549,3222713.70612549,3222713.70612549,0.222931500628344,0.222931500628344,0.222931500628344,24101.2056371984,24101.2056371984,24101.2056371984
"84",2018,"no_env_EM_OM2",113292.198068708,113292.198068708,113292.198068708,3222713.70612549,3222713.70612549,3222713.70612549,0.222931500628344,0.222931500628344,0.222931500628344,24101.2056371984,24101.2056371984,24101.2056371984
"85",2019,"env_EM_OM1",135625.98910055,135625.98910055,135625.98910055,7939997.95186675,7939997.95186675,7939997.95186675,0.245238554984329,0.245238554984329,0.245238554984329,28594.8510339713,28594.8510339713,28594.8510339713
"86",2019,"no_env_EM_OM2",135625.98910055,135625.98910055,135625.98910055,7939997.95186675,7939997.95186675,7939997.95186675,0.245238554984329,0.245238554984329,0.245238554984329,28594.8510339713,28594.8510339713,28594.8510339713
"87",2020,"env_EM_OM1",138460.505419739,138460.505419739,138460.505419739,4961658.42052842,4961658.42052842,4961658.42052842,0.248639543717687,0.248639543717687,0.248639543717687,32675.7513697308,32675.7513697308,32675.7513697308
"88",2020,"no_env_EM_OM2",138460.505419739,138460.505419739,138460.505419739,4961658.42052842,4961658.42052842,4961658.42052842,0.248639543717687,0.248639543717687,0.248639543717687,32675.7513697308,32675.7513697308,32675.7513697308
"89",2021,"env_EM_OM1",153453.294605093,153453.294605093,153453.294605093,3132334.9698918,3132334.9698918,3132334.9698918,0.255035639608204,0.255035639608204,0.255035639608204,34678.9064413701,34678.9064413701,34678.9064413701
"90",2021,"no_env_EM_OM2",153453.294605093,153453.294605093,153453.294605093,3132334.9698918,3132334.9698918,3132334.9698918,0.255035639608204,0.255035639608204,0.255035639608204,34678.9064413701,34678.9064413701,34678.9064413701
"91",2022,"env_EM_OM1",161673.289408736,161673.289408736,161673.289408736,3476112.34862645,1076904.91947157,10705525.3852475,0.29690774065382,0.29690774065382,0.29690774065382,41733.7282339814,41733.7282339814,41733.7282339814
"92",2022,"no_env_EM_OM2",162015.719467848,162015.719467848,162015.719467848,4233185.71360951,1183122.60104317,11868390.9547285,0.285479909275849,0.285479909275849,0.285479909275849,40328.2106415382,40328.2106415382,40328.2106415382
"93",2023,"env_EM_OM1",140460.877854166,139725.98090637,141312.708172018,3035852.56611068,1055698.6500908,8616067.48830491,0.263995800068178,0.23376146371317,0.290235440223558,35312.5779013642,31298.4761632072,41663.6865041729
"94",2023,"no_env_EM_OM2",141931.054017234,140969.62202804,142832.813455542,4291202.85692638,1163083.79419427,15028849.7693115,0.256344262348951,0.224703162151096,0.290314340527861,35105.3020005764,30730.303592771,39924.2541154357
"95",2024,"env_EM_OM1",127814.153892723,108140.378059661,178889.978757596,3411385.09964536,860965.559883745,11599176.0049527,0.246922569258106,0.209892019632781,0.309900925018467,30241.1705689722,24283.8765819089,45335.2251868735
"96",2024,"no_env_EM_OM2",132496.600498734,109990.095280136,184692.289862984,3624365.96902788,962964.103465614,13728895.1343739,0.244047211056858,0.208554222834526,0.315872947728397,31479.0091209206,23803.7678284316,51453.3304742124
