"","scenario","stock","year","indicator","q05","q50","q95"
"133","CCpe85","HKE",2033,"catch",43753.4704198965,61740.1250054442,101844.030767855
"134","CCpe85","HKE",2033,"f",0.227803695397347,0.240226382967107,0.24995802285958
"135","CCpe85","HKE",2033,"rec",437414.417628791,935159.038795621,2205043.67019441
"136","CCpe85","HKE",2033,"ssb",85318.8523170697,122279.954995845,202442.020542367
"137","CCpe85","HKE",2034,"catch",43224.2389184327,64106.2118554345,104799.278668525
"138","CCpe85","HKE",2034,"f",0.230912400673504,0.241465978131162,0.250475099422465
"139","CCpe85","HKE",2034,"rec",469145.729369702,1093658.69173856,2097180.91669657
"140","CCpe85","HKE",2034,"ssb",85528.9252699335,128405.362944907,211156.957784253
"141","CCpe85","HKE",2035,"catch",42756.725207806,63866.6333189143,108281.413760172
"142","CCpe85","HKE",2035,"f",0.225996094811964,0.238901263201677,0.248229876927754
"143","CCpe85","HKE",2035,"rec",363403.354807998,934241.762342424,2320758.87341228
"144","CCpe85","HKE",2035,"ssb",83765.0226181918,126096.014541088,212170.935351727
"145","CCpe85","HKE",2036,"catch",40655.6168944159,64805.4098479545,104595.706721578
"146","CCpe85","HKE",2036,"f",0.225187525423787,0.238516896242554,0.247842528041557
"147","CCpe85","HKE",2036,"rec",476522.227049627,1054901.49940619,2356455.43560628
"148","CCpe85","HKE",2036,"ssb",79802.201597165,128347.696373317,212050.915173495
"149","CCpe85","HKE",2037,"catch",41442.1934644011,65950.0985151216,103950.97520988
"150","CCpe85","HKE",2037,"f",0.229049126792611,0.238890042022012,0.248371022530503
"151","CCpe85","HKE",2037,"rec",436340.720639183,969672.016854156,2591660.3589677
"152","CCpe85","HKE",2037,"ssb",81168.5123592548,132241.069539584,206710.024026929
"153","CCpe85","HKE",2038,"catch",43139.5956050176,68496.4247909096,105595.394044414
"154","CCpe85","HKE",2038,"f",0.226244710145031,0.238332766639233,0.249146969828416
"155","CCpe85","HKE",2038,"rec",409585.797806068,1016479.19136963,2122608.16433632
"156","CCpe85","HKE",2038,"ssb",84383.0605970928,135600.061234799,215571.535450679
"157","CCpe85","HKE",2039,"catch",45109.5292367469,68909.1338825494,113719.731713411
"158","CCpe85","HKE",2039,"f",0.225273147378696,0.240016271246175,0.251742984397475
"159","CCpe85","HKE",2039,"rec",588252.297914791,1085531.5034476,2485231.36881235
"160","CCpe85","HKE",2039,"ssb",89643.4282056221,137353.342619312,226725.323000603
"161","CCpe85","HKE",2040,"catch",45099.9180890496,69271.9026407623,113436.069042581
"162","CCpe85","HKE",2040,"f",0.225614893353361,0.239781893036747,0.250430332386891
"163","CCpe85","HKE",2040,"rec",474665.857512907,1023373.54323714,2355409.35976347
"164","CCpe85","HKE",2040,"ssb",89392.2074537616,137643.61602721,226666.369816004
"165","CCpe85","HKE",2041,"catch",45371.3503154425,67845.6835754199,109625.21725199
"166","CCpe85","HKE",2041,"f",0.227494485729447,0.238897046253415,0.249364276764296
"167","CCpe85","HKE",2041,"rec",475821.226214783,1024022.31041679,1862508.97716532
"168","CCpe85","HKE",2041,"ssb",88996.5401645027,137567.638987055,222573.105249653
"169","CCpe85","HKE",2042,"catch",45488.1672054058,69106.9782559062,113307.261867155
"170","CCpe85","HKE",2042,"f",0.228832504739986,0.238931750135864,0.249131387990678
"171","CCpe85","HKE",2042,"rec",521521.67994089,948729.473693524,2341463.02797554
"172","CCpe85","HKE",2042,"ssb",89740.0123092358,137632.164009176,230052.201614456
"173","CCpe85","HKE",2043,"catch",43645.1005270632,71223.4617049585,112271.101808547
"174","CCpe85","HKE",2043,"f",0.228900148750307,0.239298020891854,0.249746309598226
"175","CCpe85","HKE",2043,"rec",416635.370129091,995279.626572518,2037328.16206139
"176","CCpe85","HKE",2043,"ssb",86896.3543822466,143479.983111355,231387.173825155
"177","CCpe85","HKE",2044,"catch",43567.8358237409,68314.4111947225,115875.167249989
"178","CCpe85","HKE",2044,"f",0.228183817240807,0.239008799383747,0.246951680032769
"179","CCpe85","HKE",2044,"rec",461321.19248517,1028555.34029379,2350639.06440538
"180","CCpe85","HKE",2044,"ssb",88470.3929408756,136555.195236367,233173.868415986
"181","CCpe85","HKE",2045,"catch",45363.848161865,68346.6884626189,115696.605999452
"182","CCpe85","HKE",2045,"f",0.229225380670483,0.237824095888764,0.246564617497059
"183","CCpe85","HKE",2045,"rec",489228.692189564,1005743.05510704,2203654.5038622
"184","CCpe85","HKE",2045,"ssb",89085.0822301261,132356.562438695,232984.74740002
"185","CCpe85","HKE",2046,"catch",45022.6120549727,65436.4195936981,114355.010727798
"186","CCpe85","HKE",2046,"f",0.228839234750554,0.236271617127564,0.246313612038881
"187","CCpe85","HKE",2046,"rec",483022.666640884,1070971.6194419,2158993.69376277
"188","CCpe85","HKE",2046,"ssb",86825.1656580836,128447.348095182,223655.451163296
"189","CCpe85","HKE",2047,"catch",43689.0889979738,64996.8735396012,114417.032367109
"190","CCpe85","HKE",2047,"f",0.2273097431012,0.237994073261814,0.244871642146865
"191","CCpe85","HKE",2047,"rec",435468.119372332,999477.363141849,2224131.76193297
"192","CCpe85","HKE",2047,"ssb",84761.1947005176,130098.127043837,232840.263118878
"193","CCpe85","HKE",2048,"catch",41783.1969402474,68857.7690302315,109684.705547282
"194","CCpe85","HKE",2048,"f",0.226311509624266,0.238698675396329,0.248640987733028
"195","CCpe85","HKE",2048,"rec",466708.610547093,1079603.63804208,2402234.89114764
"196","CCpe85","HKE",2048,"ssb",82869.9379117068,139451.112946063,220460.984885724
"197","CCpe85","HKE",2049,"catch",42968.9446758431,70673.5795752513,106484.544803819
"198","CCpe85","HKE",2049,"f",0.228660787278724,0.238875071114494,0.246659943701329
"199","CCpe85","HKE",2049,"rec",549427.624706286,1098284.49979069,2674312.71856193
"200","CCpe85","HKE",2049,"ssb",81450.3483511254,140141.9169652,213559.814386528
"201","CCpe85","HKE",2050,"catch",44990.544379295,71907.9606924861,109398.876045891
"202","CCpe85","HKE",2050,"f",0.229193819444541,0.238531989305798,0.24853435639939
"203","CCpe85","HKE",2050,"rec",398738.244594633,1074436.25632159,2277357.99657345
"204","CCpe85","HKE",2050,"ssb",88921.0982172989,140466.09845141,219100.315017436
